Gene,Pathway,Tissue,GDR,Mutation,D1,D2,D3,D4,D5,D6
G70,Pathway2,Blood,Limited,553,0.24,4.01,2.44,4.03,60.7,58
G10342,Pathway4,Skin,Moderate,4769,1.03,6.33,4.07,6.39,63.9,59
G41469,Pathway1,Breast,Noevidence,1230,0.41,4.83,2.95,4.8,61.3,54
G34974,Pathway1,Blood,Moderate,472,0.23,4.01,2.43,4.02,60.5,55
G52639,Pathway3,Kidney,Moderate,552,0.24,3.95,2.46,3.98,62,58
G24002,Pathway6,Brain,Noevidence,12168,2.1,8.24,5.05,8.15,61.6,57
G19971,Pathway1,Skin,Strong,8518,1.5,7.2,4.58,7.16,63.8,58
G34655,Pathway2,Liver,Limited,872,0.31,4.39,2.66,4.33,61,59
G27644,Pathway5,Liver,Definitive,18565,2.02,8,5.14,7.95,64.5,57
G51217,Pathway4,Brain,Limited,2352,0.7,5.66,3.54,5.62,62.8,58
G23597,Pathway3,Brain,Limited,11613,1.5,7.36,4.57,7.34,62.2,58
G17834,Pathway1,Brain,Moderate,7191,1.2,6.81,4.15,6.86,60.7,58
G37240,Pathway3,Liver,Noevidence,975,0.4,4.77,2.94,4.73,61.9,55
G53534,Pathway1,Brain,Noevidence,2690,0.71,5.74,3.53,5.78,61.3,57
G28832,Pathway2,Skin,Limited,683,0.41,4.8,2.96,4.85,61.3,59
G8591,Pathway1,Liver,Definitive,4439,0.91,6.02,3.91,6,65.1,63
G20996,Pathway3,Kidney,Noevidence,9212,1.02,6.53,4.01,6.42,61.9,57
G12993,Pathway6,Skin,Limited,5398,1.26,6.98,4.32,6.92,62.2,58
G11152,Pathway5,Brain,Noevidence,4943,1.01,6.42,3.95,6.49,61.2,58
G19480,Pathway5,Skin,Strong,8115,1.7,7.51,4.79,7.56,63.6,56
G11622,Pathway5,Liver,Limited,5050,1.01,6.33,3.95,6.29,62.6,61
G52883,Pathway4,Brain,Noevidence,2583,0.73,5.78,3.6,5.81,62.1,54
G38002,Pathway4,Breast,Limited,1008,0.43,4.92,2.99,4.89,61,58
G18883,Pathway4,Liver,Moderate,7743,1,6.44,3.95,6.5,61.1,55
G7366,Pathway3,Skin,Moderate,4218,1.03,6.51,4,6.58,61.1,59
G14613,Pathway1,Liver,Noevidence,5897,0.9,6.14,3.85,6.09,63,57
G10790,Pathway5,Liver,Definitive,4861,1,6.22,4,6.13,64.8,62
G28116,Pathway3,Skin,Noevidence,663,0.42,4.8,2.99,4.83,62.1,56
G38117,Pathway5,Lymphnode,Noevidence,1013,0.3,4.3,2.66,4.27,62.1,55
G39949,Pathway2,Blood,Strong,492,0.28,4.15,2.69,4.18,64.6,55
G2708,Pathway5,Skin,Moderate,562,0.39,4.58,2.88,4.65,62.4,59
G1212,Pathway2,Skin,Noevidence,2938,0.81,6.1,3.66,6.06,60.2,57
G13827,Pathway6,Liver,Noevidence,5634,1.2,6.77,4.22,6.74,62.5,56
G21042,Pathway4,Breast,Limited,625,0.31,4.35,2.67,4.37,61.2,59
G7398,Pathway4,Liver,Noevidence,579,0.33,4.42,2.77,4.47,62.3,55
G32779,Pathway1,Brain,Limited,803,0.34,4.47,2.76,4.43,62,56
G33956,Pathway2,Kidney,Moderate,465,0.23,3.99,2.42,4.05,60.2,57
G19205,Pathway4,Liver,Limited,7951,1.37,7.11,4.36,7.04,61.6,59
G16427,Pathway4,Liver,Noevidence,6561,1.08,6.56,4.11,6.6,62.5,57
G21668,Pathway5,Brain,Limited,9763,1.55,7.5,4.54,7.46,60.7,58
G43392,Pathway6,Liver,Noevidence,1410,0.57,5.31,3.29,5.34,61.8,57
G2551,Pathway5,Kidney,Moderate,3208,0.77,5.89,3.61,5.92,61.1,56
G42786,Pathway1,Brain,Strong,1349,0.51,5.06,3.23,5.03,64,58
G26350,Pathway3,Liver,Limited,645,0.32,4.4,2.68,4.44,60.6,59
G18060,Pathway3,Brain,Limited,616,0.36,4.62,2.81,4.57,61.1,60
G38748,Pathway4,Lymphnode,Noevidence,1044,0.35,4.5,2.81,4.52,62.3,55
G10450,Pathway6,Brain,Limited,4788,1.14,6.7,4.16,6.67,62.2,58
G13742,Pathway6,Brain,Noevidence,5602,1.22,6.95,4.21,6.89,60.8,57
G36707,Pathway7,Kidney,Noevidence,953,0.47,4.97,3.09,4.99,62.1,54.5
G41366,Pathway5,Brain,Limited,1219,0.5,5.06,3.13,5.02,62.1,60
G8751,Pathway7,Brain,Noevidence,4465,1.09,6.53,4.11,6.59,62.7,57
G41088,Pathway3,Kidney,Limited,1192,0.41,4.76,2.95,4.7,62.4,58
G43098,Pathway3,Brain,Noevidence,1383,0.52,5.14,3.19,5.17,62,55
G53154,Pathway4,Liver,Limited,2623,0.71,5.71,3.53,5.65,62.1,62
G41112,Pathway3,Skin,Limited,1195,0.51,5.24,3.07,5.19,58.9,60
G17395,Pathway1,Skin,Noevidence,612,0.32,4.38,2.74,4.35,62.8,57
G45483,Pathway1,Liver,Noevidence,1678,0.5,5.14,3.18,5.16,61.7,53
G39573,Pathway4,Kidney,Limited,1081,0.44,4.88,3.01,4.94,61.3,60
G34374,Pathway3,Liver,Noevidence,863,0.41,4.75,2.95,4.79,61.8,57
G10212,Pathway2,Skin,Strong,4742,1.08,6.54,4.15,6.49,63.7,57
G10491,Pathway2,Skin,Moderate,4797,1.05,6.55,3.98,6.6,60.5,58
G6318,Pathway2,Skin,Limited,4027,0.94,6.33,3.93,6.26,62.4,58
G24462,Pathway2,Blood,Noevidence,12725,1.11,6.68,4.11,6.72,61.3,54
G47408,Pathway4,Lymphnode,Definitive,1849,0.52,4.98,3.29,5.06,65.5,55
G52816,Pathway5,Breast,Limited,2572,0.71,5.83,3.55,5.77,61.2,57
G27370,Pathway2,Kidney,Noevidence,646,0.28,4.21,2.55,4.25,60.3,57
G45342,Pathway7,Brain,Strong,1663,0.72,5.83,3.48,5.75,60.1,64
G37836,Pathway1,Liver,Noevidence,1002,0.33,4.49,2.77,4.46,61.9,53
G23774,Pathway3,Blood,Limited,11830,1.22,6.85,4.23,6.81,61.9,58
G49233,Pathway6,Brain,Noevidence,2083,0.7,5.75,3.46,5.8,59.9,59
G21689,Pathway6,Brain,Noevidence,9788,1.56,7.45,4.63,7.37,62.5,54
G51907,Pathway2,Skin,Noevidence,2434,0.73,5.81,3.54,5.89,60.4,56
G2004,Pathway2,Skin,Noevidence,3101,0.81,5.94,3.7,5.98,62.1,55
G39693,Pathway3,Kidney,Noevidence,1088,0.4,4.72,2.95,4.74,62.4,56
G42227,Pathway1,Kidney,Limited,1290,0.39,4.66,2.92,4.62,62.9,58
G32737,Pathway3,Liver,Noevidence,802,0.31,4.33,2.69,4.27,62.6,57
G39622,Pathway4,Liver,Moderate,491,0.3,4.21,2.65,4.25,62.6,62
G10936,Pathway3,Breast,Strong,4898,0.9,6.11,3.85,6.15,62.8,60
G16779,Pathway4,Breast,Limited,6683,1.02,6.5,4.01,6.43,62,56
G53140,Pathway2,Kidney,Noevidence,2622,0.56,5.26,3.28,5.3,62.1,57
G1314,Pathway1,Breast,Limited,2956,0.7,5.78,3.47,5.71,60.4,58
G5714,Pathway2,Kidney,Moderate,575,0.27,4.27,2.51,4.3,58.6,61
G35295,Pathway5,Liver,Limited,473,0.3,4.23,2.66,4.28,62.5,59
G36382,Pathway1,Brain,Limited,941,0.38,4.63,2.86,4.57,62.2,58
G47451,Pathway1,Liver,Noevidence,1857,0.53,5.17,3.22,5.2,62.1,55
G20047,Pathway2,Breast,Noevidence,625,0.28,4.21,2.6,4.18,62,56
G53818,Pathway2,Brain,Moderate,2735,0.71,5.69,3.5,5.73,61.3,59
G13194,Pathway5,Brain,Limited,5454,1.16,6.76,4.15,6.81,61.2,58
G12650,Pathway5,Brain,Noevidence,5296,1.15,6.74,4.18,6.77,61.9,55
G11242,Pathway4,Skin,Definitive,4966,1.26,7.44,3.94,7.36,53.2,61
G26250,Pathway5,Skin,Moderate,15696,2.08,8.37,4.95,8.41,59,59
G28711,Pathway2,Kidney,Moderate,680,0.23,3.92,2.47,3.88,63.3,56
G22400,Pathway5,Lung,Limited,10424,2.77,8.93,5.56,8.83,62.6,62
G3304,Pathway1,Kidney,Strong,3369,0.69,5.61,3.46,5.65,61.5,61
G26107,Pathway6,Brain,Strong,15371,2.01,7.94,4.96,8.01,62.2,61
G51158,Pathway2,Skin,Moderate,2345,0.72,5.84,3.5,5.86,59.8,58
G6803,Pathway5,Skin,Limited,4116,1.05,6.58,4.03,6.54,61.4,58
G40994,Pathway7,Brain,Limited,1181,0.63,5.49,3.39,5.47,61.9,59
G2964,Pathway2,Brain,Noevidence,3297,0.8,5.97,3.69,5.94,62,57
G8781,Pathway5,Brain,Limited,4469,1,6.3,3.93,6.24,62.7,60
G7087,Pathway2,Brain,Moderate,4165,0.9,6.21,3.73,6.26,59.8,58
G50515,Pathway6,Liver,Moderate,2273,0.7,5.58,3.5,5.65,62.3,58
G16665,Pathway5,Liver,Noevidence,6662,1.19,6.82,4.21,6.73,62.1,59
G20106,Pathway3,Kidney,Limited,8579,1.01,6.52,3.86,6.5,59.3,60
G28869,Pathway5,Brain,Noevidence,684,0.37,4.71,2.8,4.67,59.7,56
G20901,Pathway3,Breast,Noevidence,9116,1.14,6.78,4.13,6.74,61.1,55
G29408,Pathway3,Kidney,Noevidence,700,0.31,4.33,2.68,4.36,61.7,55
G12941,Pathway4,Liver,Moderate,5385,1,6.41,3.88,6.52,60,55
G13348,Pathway6,Liver,Noevidence,5506,1.11,6.66,4.12,6.69,61.7,55
G22165,Pathway5,Liver,Definitive,10206,1.5,7.12,4.62,7.06,65.2,58
G51780,Pathway3,Skin,Strong,2411,0.7,5.58,3.56,5.53,64.1,59
G28567,Pathway5,Breast,Moderate,675,0.3,4.3,2.71,4.25,63.4,53
G23116,Pathway3,Kidney,Noevidence,11141,1.23,6.89,4.24,6.84,61.8,56
G44890,Pathway2,Liver,Limited,1629,0.5,5.1,3.12,5.07,61.4,58
G47002,Pathway4,Kidney,Noevidence,1818,0.53,5.19,3.25,5.21,62.5,54
G4290,Pathway2,Brain,Moderate,3586,0.92,6.22,3.92,6.17,63.3,57
G20661,Pathway3,Kidney,Moderate,8950,1,6.33,4,6.36,63,59
G45862,Pathway3,Breast,Limited,1715,0.5,5.11,3.13,5.06,61.6,58
G51689,Pathway4,Lymphnode,Noevidence,2399,0.56,5.33,3.29,5.28,62,56
G5280,Pathway1,Skin,Moderate,3798,0.9,6.12,3.84,6.16,62.5,58
G28484,Pathway2,Brain,Moderate,672,0.32,4.34,2.74,4.31,63.4,56
G35919,Pathway5,Brain,Noevidence,919,0.43,4.84,3.01,4.79,62.5,57
G50486,Pathway4,Skin,Limited,2268,0.7,5.91,3.42,5.88,58,60
G13448,Pathway4,Brain,Moderate,5522,1,6.44,3.94,6.47,61,56.7
G45835,Pathway2,Breast,Strong,1714,0.5,5.07,3.11,5.12,61,61
G20748,Pathway4,Breast,Noevidence,8985,1.21,6.9,4.22,6.84,61.4,56
G7440,Pathway3,Brain,Strong,4230,1.09,6.63,4.03,6.58,61,64
G15393,Pathway5,Kidney,Moderate,6166,1.04,6.6,3.92,6.66,59.1,60
G20637,Pathway3,Liver,Moderate,8929,1.24,7,4.19,7.07,59.6,59
G19374,Pathway1,Kidney,Moderate,622,0.27,4.08,2.55,4.12,62.2,59
G28528,Pathway3,Breast,Moderate,675,0.31,4.37,2.66,4.38,60.9,56
G32893,Pathway2,Brain,Noevidence,810,0.36,4.59,2.84,4.56,62.1,56
G16167,Pathway2,Liver,Limited,6460,1.03,6.6,3.94,6.54,60,59
G6206,Pathway5,Skin,Moderate,3998,1.02,6.33,3.99,6.24,63.5,60
G2336,Pathway3,Breast,Noevidence,3170,0.74,5.79,3.6,5.76,62.3,56
G14220,Pathway6,Brain,Noevidence,5763,1.2,6.87,4.17,6.97,60.3,56
G2499,Pathway3,Brain,Limited,3198,0.83,6.04,3.73,5.99,62,59
G47205,Pathway4,Kidney,Moderate,1838,0.5,5.04,3.19,5.11,62.9,57
G50630,Pathway1,Liver,Moderate,402,0.23,3.91,2.48,3.95,63.1,58
G50072,Pathway3,Liver,Limited,2203,0.51,5.19,3.16,5.16,61.1,58
G32412,Pathway1,Brain,Noevidence,791,0.41,4.82,2.92,4.86,60.3,57
G49299,Pathway6,Skin,Strong,539,0.41,4.7,2.99,4.72,63.5,57
G2330,Pathway4,Liver,Moderate,3170,0.76,5.84,3.6,5.95,61.1,57
G21319,Pathway6,Blood,Strong,9471,1.51,7.26,4.63,7.21,64,60
G13221,Pathway7,Liver,Noevidence,5459,1.06,6.55,4.04,6.6,61.4,56
G14817,Pathway4,Liver,Limited,5967,1,6.39,3.92,6.36,61.5,58
G51744,Pathway3,Brain,Moderate,2404,0.72,5.72,3.57,5.76,62.2,59
G30157,Pathway2,Brain,Noevidence,720,0.3,4.36,2.67,4.33,61.4,56
G35844,Pathway4,Kidney,Limited,917,0.4,4.74,2.92,4.78,61.3,59
G32034,Pathway3,Blood,Moderate,779,0.31,4.39,2.62,4.43,59.4,57
G10748,Pathway3,Brain,Strong,4851,1,6.29,4.01,6.35,63.4,61
G731,Pathway6,Blood,Noevidence,557,0.31,4.36,2.7,4.41,61.6,55
G38867,Pathway3,Breast,Limited,1050,0.4,4.75,2.91,4.73,61.4,58
G1457,Pathway2,Skin,Noevidence,2978,0.8,6,3.67,6.03,61,55
G19840,Pathway4,Kidney,Noevidence,8401,1.02,6.41,4.03,6.45,62.7,57
G28376,Pathway2,Blood,Limited,668,0.24,4.06,2.44,4.03,60.3,61
G6924,Pathway4,Brain,Limited,4138,1.01,6.37,3.96,6.34,62.3,59
G40735,Pathway6,Blood,Moderate,1163,0.46,4.91,3.1,4.95,62.9,57
G44674,Pathway5,Brain,Noevidence,1609,0.66,5.53,3.46,5.56,62.4,58
G11229,Pathway1,Skin,Moderate,4964,1.02,6.62,3.91,6.68,58.8,58
G44860,Pathway6,Liver,Noevidence,1627,0.61,5.43,3.37,5.46,62,57
G46413,Pathway1,Brain,Strong,1767,0.54,5.36,3.11,5.39,57.9,60
G15372,Pathway3,Liver,Noevidence,605,0.3,4.26,2.66,4.31,62.1,55
G47105,Pathway4,Kidney,Noevidence,1827,0.51,5.12,3.16,5.14,61.6,56
G20345,Pathway1,Skin,Strong,8742,1.51,7.37,4.55,7.42,61.5,61
G31083,Pathway2,Blood,Moderate,752,0.31,4.41,2.67,4.44,60.3,57
G6865,Pathway3,Skin,Definitive,4127,1.01,6.48,3.78,6.52,58.2,61
G4914,Pathway3,Lung,Limited,3724,1.25,7.12,4.11,7.05,58,59
G17624,Pathway2,Brain,Strong,7096,1.2,6.67,4.25,6.61,64,61
G3927,Pathway4,Lung,Strong,3497,1.51,7.29,4.63,7.17,64,59
G13692,Pathway3,Brain,Limited,5599,1.01,6.53,4.02,6.45,61.9,56
G32561,Pathway1,Liver,Noevidence,800,0.36,4.58,2.84,4.61,61.8,55
G30967,Pathway7,Liver,Moderate,746,0.39,4.63,2.92,4.6,63.3,56
G13117,Pathway4,Skin,Limited,5430,1.21,6.9,4.18,6.96,60.3,58
G40274,Pathway4,Brain,Noevidence,493,0.31,4.38,2.72,4.42,61.8,55
G30676,Pathway2,Brain,Limited,737,0.4,4.69,2.89,4.74,61.3,59
G37830,Pathway1,Liver,Noevidence,1002,0.33,4.47,2.76,4.42,62.1,56
G48388,Pathway4,Kidney,Noevidence,1966,0.59,5.37,3.35,5.4,62.2,56
G53509,Pathway3,Liver,Limited,2686,0.71,5.81,3.45,5.77,59.6,59
G4187,Pathway7,Kidney,Noevidence,3558,0.95,6.4,3.86,6.34,60.6,57
G5042,Pathway6,Breast,Noevidence,573,0.33,4.44,2.75,4.47,61.7,55
G25199,Pathway5,Skin,Moderate,13790,2.04,8.1,5.09,8,63.2,58
G3380,Pathway6,Brain,Limited,408,0.31,4.34,2.67,4.37,61.3,58
G39960,Pathway1,Skin,Limited,492,0.33,4.41,2.72,4.42,61.6,59
G46428,Pathway2,Liver,Moderate,1770,0.56,5.33,3.27,5.38,61.1,57
G22776,Pathway7,Liver,Moderate,10798,1.86,7.81,4.91,7.9,62.5,55
G21072,Pathway3,Lymphnode,Moderate,9248,1,6.31,4.04,6.34,63.9,56
G18458,Pathway3,Liver,Noevidence,7508,1.04,6.52,3.99,6.54,61.1,57
G17862,Pathway6,Lymphnode,Noevidence,7207,1.19,6.78,4.19,6.81,61.7,56
G21862,Pathway6,Brain,Moderate,9925,1.59,7.46,4.66,7.48,62.4,56
G42771,Pathway7,Brain,Limited,1348,0.55,5.33,3.21,5.28,60.5,59
G39221,Pathway5,Skin,Limited,1066,0.58,5.45,3.21,5.42,59,61
G39602,Pathway6,Breast,Noevidence,491,0.3,4.3,2.69,4.32,62.4,54
G52289,Pathway3,Kidney,Strong,2494,0.58,5.37,3.36,5.44,62.2,61
G22026,Pathway2,Skin,Noevidence,628,0.38,4.64,2.9,4.69,62.1,54.1
G37173,Pathway1,Liver,Noevidence,972,0.32,4.41,2.73,4.37,62.2,55
G28534,Pathway6,Lymphnode,Noevidence,675,0.33,4.45,2.73,4.49,61.1,56
G4267,Pathway3,Skin,Strong,3581,1.04,6.38,4.07,6.33,64,60
G1943,Pathway2,Skin,Definitive,3084,0.9,6.02,3.95,5.98,65.8,58
G36656,Pathway1,Kidney,Strong,949,0.41,4.71,2.99,4.73,63.3,59
G41887,Pathway2,Brain,Noevidence,1259,0.5,5.03,3.15,5.07,62.4,56
G11484,Pathway7,Liver,Limited,5015,1.26,6.9,4.3,6.95,62.1,58
G262,Pathway6,Brain,Moderate,2791,0.87,6.07,3.87,6.1,63.6,55.8
G43320,Pathway2,Brain,Limited,1402,0.51,5.11,3.2,5.06,62.9,57
G30254,Pathway4,Brain,Limited,724,0.43,4.8,3.01,4.82,62.6,59
G1642,Pathway1,Kidney,Strong,3017,0.5,5.03,3.14,5.06,62.4,64
G14345,Pathway5,Skin,Noevidence,5807,1.22,6.9,4.22,5.92,61.1,57
G37244,Pathway4,Kidney,Moderate,976,0.43,4.84,2.99,4.88,61.7,56
G31455,Pathway2,Brain,Limited,765,0.34,4.59,2.71,4.55,59.3,58
G43825,Pathway2,Brain,Moderate,1443,0.51,5.08,3.2,5.05,63.2,61
G1709,Pathway3,Brain,Noevidence,3036,0.78,6,3.65,5.96,61,55
G244,Pathway3,Brain,Strong,2789,0.77,5.81,3.72,5.77,64.2,52
G2124,Pathway4,Breast,Strong,3121,0.76,5.86,3.55,5.9,60.3,60.7
G43075,Pathway5,Brain,Moderate,1378,0.6,5.45,3.28,5.41,60.4,63
G43552,Pathway3,Liver,Noevidence,1429,0.52,5.2,3.15,5.24,60.3,57
G23360,Pathway4,Brain,Noevidence,422,0.3,4.34,2.66,4.39,60.9,57
G14570,Pathway2,Liver,Limited,5882,1.01,6.59,3.89,6.54,59.3,59
G47571,Pathway4,Kidney,Noevidence,1875,0.51,5.13,3.17,5.18,61.5,57
G34815,Pathway3,Brain,Moderate,878,0.41,4.73,2.97,4.69,63.1,56
G6076,Pathway2,Skin,Noevidence,3968,0.91,6.25,3.81,6.29,60.8,56
G29186,Pathway2,Breast,Noevidence,694,0.3,4.27,2.68,4.31,62.5,56
G20219,Pathway5,Breast,Noevidence,8652,1.27,6.95,4.27,6.97,61.4,56
G29071,Pathway1,Liver,Noevidence,687,0.34,4.48,2.78,4.54,61.6,55
G17136,Pathway6,Liver,Noevidence,6838,1.28,7.01,4.31,6.98,61.6,57
G36093,Pathway3,Blood,Noevidence,926,0.32,4.42,2.74,4.45,61.8,56
G31181,Pathway1,Brain,Limited,756,0.32,4.43,2.71,4.41,61.3,60
G12114,Pathway7,Brain,Limited,5166,1.25,6.9,4.27,6.88,62,58
G22440,Pathway5,Brain,Moderate,10468,1.53,7.4,4.53,7.45,61,61
G50715,Pathway4,Lymphnode,Noevidence,2293,0.53,5.29,3.2,5.33,60.3,56
G10737,Pathway6,Liver,Noevidence,594,0.33,4.43,2.75,4.39,62.4,56
G6504,Pathway5,Breast,Limited,4064,0.9,6.18,3.81,6.16,61.8,56
G15271,Pathway5,Breast,Moderate,6132,1.05,6.62,3.96,6.68,59.5,56
G26492,Pathway1,Lymphnode,Moderate,16087,1.01,6.43,3.97,6.46,61.6,56
G46606,Pathway1,Brain,Limited,1786,0.54,5.24,3.24,5.21,62,55
G53076,Pathway5,Skin,Limited,2610,0.89,6.17,3.83,6.15,62.2,59
G42847,Pathway3,Blood,Limited,1356,0.41,4.79,2.92,4.73,61.3,59
G28602,Pathway2,Brain,Limited,675,0.3,4.33,2.66,4.27,61.9,58
G40886,Pathway3,Skin,Limited,1176,0.57,5.34,3.29,5.31,61.7,59
G20647,Pathway4,Breast,Limited,8938,1.2,6.62,4.16,6.59,63,61
G5168,Pathway5,Brain,Moderate,3771,0.91,6.18,3.89,6.1,63.4,56
G20192,Pathway4,Blood,Noevidence,8637,1.04,6.48,4.04,6.51,62.2,55
G52139,Pathway2,Kidney,Moderate,2469,0.57,5.39,3.22,5.41,59.6,58
G38752,Pathway4,Lymphnode,Limited,1044,0.35,4.54,2.76,4.57,60.6,60
G24437,Pathway7,Brain,Limited,12690,2.01,8.12,4.88,8.01,60.5,59
G20832,Pathway6,Liver,Limited,9057,1.52,7.53,4.42,7.46,59,59
G7073,Pathway4,Liver,Noevidence,579,0.33,4.39,2.75,4.41,62.5,57
G2385,Pathway2,Brain,Limited,561,0.32,4.37,2.73,4.4,62.3,58
G6694,Pathway4,Skin,Limited,408,0.31,4.37,2.69,4.4,61.3,58
G31610,Pathway4,Liver,Moderate,369,0.23,3.91,2.46,3.93,62.8,53
G42944,Pathway6,Brain,Limited,506,0.3,4.3,2.64,4.27,61.6,62
G28833,Pathway2,Skin,Moderate,683,0.41,4.79,2.95,4.83,61.3,57
G31897,Pathway4,Breast,Noevidence,776,0.3,4.32,2.69,4.29,62.5,57
G11872,Pathway7,Breast,Limited,5107,1.2,7,4.12,6.94,59.1,61
G2316,Pathway4,Blood,Noevidence,3167,0.71,5.72,3.59,5.84,62.1,56
G12976,Pathway2,Skin,Noevidence,5393,1.07,6.62,4.05,6.57,61.4,57
G46374,Pathway4,Liver,Noevidence,1761,0.58,5.45,3.28,5.48,60,56
G5921,Pathway5,Skin,Strong,3940,1.02,6.49,3.8,6.57,58.2,60
G835,Pathway3,Blood,Noevidence,2867,0.52,5.21,3.18,5.19,61.2,56
G45370,Pathway2,Breast,Noevidence,1665,0.5,5.1,3.18,5.13,62.2,54
G34955,Pathway4,Liver,Moderate,471,0.29,4.21,2.64,4.24,62.5,56
G5753,Pathway2,Skin,Strong,3895,0.9,6.13,3.77,6.17,61.3,61
G5275,Pathway3,Breast,Noevidence,3797,0.73,5.8,3.57,5.83,61.4,55
G52730,Pathway5,Kidney,Moderate,2558,0.7,5.65,3.54,5.68,62.5,55
G8148,Pathway3,Brain,Strong,4355,1.01,6.36,4.02,6.28,63.6,58
G50031,Pathway5,Brain,Noevidence,2197,0.72,5.77,3.5,5.83,60.3,59
G41782,Pathway5,Brain,Noevidence,1247,0.57,5.32,3.3,5.3,62.1,57
G50039,Pathway3,Brain,Definitive,2198,0.71,6.05,3.4,5.87,57,68
G30199,Pathway2,Brain,Limited,722,0.42,4.85,2.92,4.89,60,58
G7473,Pathway7,Skin,Limited,4234,1.2,6.81,4.15,6.78,61.1,59
G28362,Pathway6,Liver,Noevidence,667,0.4,4.73,2.95,4.75,62.2,55
G13514,Pathway1,Brain,Limited,5543,1.01,6.44,4,6.33,62.6,58
G33826,Pathway2,Kidney,Moderate,843,0.37,4.68,2.79,4.73,59.3,58
G11341,Pathway3,Brain,Limited,4989,1.01,6.55,3.89,6.49,59.7,61
G26301,Pathway4,Liver,Limited,15801,1.72,7.69,4.71,7.73,61.1,58
G3427,Pathway2,Brain,Noevidence,3384,0.79,5.92,3.68,5.96,62,57
G30792,Pathway2,Kidney,Noevidence,742,0.3,4.32,2.69,4.35,62.1,54
G20767,Pathway5,Skin,Strong,9005,1.61,7.35,4.7,7.38,63.8,62
G8605,Pathway4,Skin,Limited,4442,1.01,6.41,3.99,6.38,62.4,58
G18600,Pathway2,Breast,Noevidence,7589,1.01,6.44,3.97,6.47,61.5,57
G17606,Pathway6,Breast,Limited,7090,1.33,7.06,4.33,7.02,61.5,58
G17208,Pathway2,Brain,Limited,6875,1.24,7.07,4.2,6.99,59.7,59
G25874,Pathway5,Brain,Strong,14968,2.01,7.98,5.02,8.01,62.8,59
G47005,Pathway3,Breast,Noevidence,1818,0.53,5.25,3.16,5.22,60.4,57
G28937,Pathway2,Kidney,Strong,684,0.3,4.27,2.7,4.28,63.2,59
G40522,Pathway1,Skin,Strong,1146,0.51,5.02,3.23,5.05,64.2,56
G22643,Pathway6,Breast,Noevidence,10691,1.66,7.67,4.67,7.64,61,55
G43230,Pathway2,Blood,Noevidence,1397,0.4,4.71,2.94,4.65,62.8,57
G29688,Pathway2,Brain,Moderate,707,0.4,4.67,2.94,4.7,62.8,59
G22483,Pathway1,Brain,Limited,10512,1.52,7.38,4.51,7.36,61.2,62
G20915,Pathway6,Brain,Moderate,9129,1.52,7.23,4.56,7.29,62.8,62
G22743,Pathway5,Liver,Noevidence,10763,1.51,7.29,4.57,7.34,62.5,55
G51922,Pathway4,Breast,Noevidence,2437,0.7,5.66,3.56,5.7,62.7,57
G4093,Pathway7,Skin,Strong,3534,1.02,6.36,4.05,6.42,63.4,56
G6560,Pathway6,Skin,Moderate,4075,1.11,6.59,4.14,6.54,63.1,57
G20613,Pathway3,Kidney,Moderate,8912,1.14,6.56,4.2,6.71,63.3,56
G21180,Pathway7,Kidney,Noevidence,9334,1.51,7.34,4.52,7.39,61.4,59
G27760,Pathway5,Liver,Limited,648,0.32,4.5,2.67,4.47,59.5,58
G43663,Pathway1,Brain,Moderate,1436,0.5,5.08,3.11,5.11,61,61
G5709,Pathway3,Kidney,Moderate,575,0.25,4.1,2.44,4.12,59.4,57
G29871,Pathway1,Liver,Moderate,710,0.3,4.26,2.67,4.29,62.5,58
G37440,Pathway2,Blood,Noevidence,984,0.33,4.42,2.74,4.46,61.7,56
G5918,Pathway1,Breast,Noevidence,3937,0.73,5.83,3.56,5.86,60.9,55
G37341,Pathway2,Liver,Strong,981,0.41,4.66,2.93,4.63,63.1,64
G10553,Pathway5,Brain,Noevidence,4812,1.04,6.61,3.94,6.59,59.7,60
G779,Pathway2,Skin,Limited,2859,0.83,6.17,3.64,6.12,59.2,60
G27929,Pathway2,Brain,Noevidence,658,0.38,4.71,2.88,4.63,61.7,58
G7609,Pathway7,Brain,Noevidence,4259,1.11,6.64,4.13,6.67,62.1,56
G15896,Pathway5,Liver,Limited,6354,1.22,6.89,4.19,6.86,60.9,58
G53201,Pathway1,Skin,Noevidence,2633,0.71,5.83,3.49,5.81,60,57
G16620,Pathway4,Breast,Moderate,6642,1,6.38,3.99,6.41,62.4,57
G17899,Pathway2,Kidney,Strong,7226,1,6.19,4.06,6.24,65.3,56
G49567,Pathway5,Skin,Noevidence,2131,0.72,5.8,3.55,5.75,61.5,56
G1603,Pathway3,Liver,Noevidence,3011,0.7,5.67,3.53,5.75,61.8,57
G35056,Pathway6,Liver,Noevidence,884,0.47,4.99,3.11,5.02,62.1,53
G42479,Pathway4,Lymphnode,Noevidence,1318,0.43,4.83,3.03,4.86,62.5,54
G3158,Pathway2,Liver,Moderate,3334,0.78,5.9,3.65,5.93,61.7,58
G23656,Pathway4,Brain,Noevidence,11702,1.57,7.49,4.61,7.43,61.8,55
G27272,Pathway6,Brain,Limited,17714,2.21,8.42,5.13,8.37,61.1,59
G23710,Pathway6,Kidney,Noevidence,632,0.37,4.62,2.87,4.66,61.9,54
G23158,Pathway3,Blood,Limited,11175,1.21,6.75,4.24,6.7,63,59
